order_category,description,order_name_examples
pt,Physical therapy consult,"PT, Physical Therapy, PT Evaluation"
ot,Occupational therapy consult,"OT, Occupational Therapy, OT Evaluation"
speech,Speech-language pathology consult,"Speech Therapy, SLP Consult"
swallowing,Swallow evaluation,"Swallow Eval, SLP Swallow Study"
nutrition,Nutrition / dietitian consult,"Nutrition Consult, Dietitian Consult"
respiratory,Respiratory therapy consult,"Respiratory Consult, RT Consult"
social_work,Social work consult,"Social Work, SW Consult"
skin_care,Skin care consult,"Skin Care Consult, Skin Integrity"
ostomy_care,Ostomy care consult,"Ostomy Care, Enterostomal Therapy, ET Nurse"
pain_services,Pain management consult,"Pain Services, Pain Management"
addiction_sud,Addiction / substance use disorder consult,"Addiction Consult, SUD Consult"
psychiatry,Psychiatry consult,"Psychiatry Consult, Psych Consult"
pastoral_services,Chaplaincy / pastoral care consult,"Pastoral Care, Chaplain Consult"
palliative_care,Palliative care consult,"Palliative Care, Palliative Consult"
interpreter,Interpreter services,"Interpreter, Translation Services"
