ed_destination_category,description,ed_destination_name_examples
acute_care_hosp,Acute care hospital,"ACUTE CARE HOSPITAL, OUTSIDE HOSPITAL, TRANSFER TO ACUTE CARE"
acute_ip_rehab,Acute inpatient rehabilitation facility,"INPATIENT REHAB, ACUTE REHAB, IRF"
ama,Left against medical advice (no specific destination),"AMA, LEFT AMA"
assisted_living,Assisted living facility,"ASSISTED LIVING, ALF"
chemical_dependency,Chemical dependency or addiction treatment facility,"DETOX, REHAB, CHEMICAL DEPENDENCY UNIT"
expired,Patient expired in the ED (no further destination),"EXPIRED, DECEASED, DIED"
group_home,Group home,"GROUP HOME, RESIDENTIAL FACILITY"
home,Patient's home,"HOME, RESIDENCE, HOUSE"
hospice,Hospice (inpatient or home hospice),"HOSPICE, INPATIENT HOSPICE, HOME HOSPICE"
jail,Jail or correctional facility,"JAIL, PRISON, CORRECTIONAL FACILITY"
ltach,Long-term acute care hospital,"LTACH, LTAC, LONG-TERM ACUTE CARE"
lwbs,Left without being seen,"LWBS, ELOPED, LEFT WITHOUT BEING SEEN"
mental_health_hosp,Psychiatric or mental health hospital,"PSYCH HOSPITAL, MENTAL HEALTH FACILITY, INPATIENT PSYCH"
missing,Destination not documented in source,"MISSING, NOT DOCUMENTED"
other,Destination not otherwise classified,"OTHER, NOS"
shelter,Homeless shelter,"SHELTER, HOMELESS SHELTER"
snf,Skilled nursing facility,"SNF, SKILLED NURSING, NURSING HOME"
still_admitted,Patient still admitted to the ED at data cutoff (no final destination),"STILL ADMITTED, STILL IN ED"
