discharge_category,description,discharge_name_examples
home,Discharged to home,"Home, Discharged to home, Discharged to Home or Self Care (Routine Discharge)"
snf,Discharged to skilled nursing facility,"SNF, Transitional Care Unit, Discharged/transferred to Skilled Nursing Facility (SNF) with Medicare Certification, Discharged to SNF"
expired,Patient died during hospitalization,"Expired, Deceased, Death"
acute_irf,Discharged to acute inpatient rehabilitation facility,"Discharged to Inpatient Rehab Facility/Unit w/ Planned Inpatient Readmission, Inpatient Rehab Facility, IRF"
hospice,Discharged to hospice care,"Hospice - Home, Hospice, Hospice - Medical Facility"
ltach,Discharged to long-term acute care hospital,"LTACH, Transferred to a Medicare Certified Long Term Care Hospital (LTCH), Discharged to Long Term Care Hospital (LTCH)"
ach,Transferred to another acute care hospital,"Transferred to a Critical Access Hospital, Discharged to an ACH, Transferred to a Designated Disaster Alternative Care Site"
group_home,Discharged to group home,"Group Home, Group Living"
chemical_dependency,Discharged to chemical dependency treatment facility,"Chem Dep, Intensive CD facility"
ama,Left against medical advice,"Left without being seen, Left before treatment complete, Discontinued Care"
assisted_living,Discharged to assisted living facility,"Supportive Care Facility, Assisted Living Home, Custodial Care Living"
still_admitted,Patient still admitted at time of data extraction,"Still Patient, Admitted as inpatient"
missing,Discharge disposition information missing,
other,Other discharge disposition not specified above,"Transferred to another category of service, Error on Reg, Discharged to another Healthcare Institution"
psychiatric,Discharged to psychiatric hospital,"Psychiatric Unit, Psychiatric Hospital Unit"
shelter,Discharged to shelter,Discharged to shelter
jail,Discharged to correctional facility,"Court/Law Enforcement, Prison"
