order_category,description,order_name_examples
pt,Physical therapy consult,"PT, Physical Therapy, PT Evaluation"
social_work,Social work consult,"Social Work, SW Consult"
ot,Occupational therapy consult,"OT, Occupational Therapy, OT Evaluation"
nutrition,Nutrition / dietitian consult,"Nutrition Consult, Dietitian Consult"
swallowing,Swallow evaluation,"Swallow Eval, SLP Swallow Study"
respiratory,Respiratory therapy consult,"Respiratory Consult, RT Consult"
interpreter,Interpreter services,"Interpreter, Translation Services"
skin_care,Skin / wound care consult,"Skin Care, Wound Care Consult"
pain_services,Pain management consult,"Pain Services, Pain Management"
addiction_nurse,Addiction nurse consult,"Addiction Nurse, Addiction Consult"
speech,Speech-language pathology consult,"Speech Therapy, SLP Consult"
pastoral_services,Chaplaincy / pastoral care consult,"Pastoral Care, Chaplain Consult"
palliative_care,Palliative care consult,"Palliative Care, Palliative Consult"
psych_liaison_nurse,Psychiatric liaison nurse consult,"Psych Liaison Nurse, Psych Consult Nurse"
et_nurse,Enterostomal therapy (ostomy) nurse consult,"ET Nurse, Enterostomal Therapy"
eeg,EEG / electroencephalogram order,"EEG, Electroencephalogram, Continuous EEG"
other,Other consult or order not otherwise classified,"Other Consult"
