med_category,med_dose_unit,volume_infusion_rate_units,description,med_name_examples,med_group
albumin_5,ml,ml,5% albumin colloid fluid replacement for volume expansion; delivered in mL.,ALBUMIN 5% 250 ML IV INFUSION,fluids_electrolytes
albumin_25,g,g,25% albumin colloid for hypoalbuminemia and oncotic support; delivered in g.,ALBUMIN 25% 50 ML IV INFUSION,fluids_electrolytes
albuterol,mg,mg,Beta-2 agonist bronchodilator for respiratory conditions,"ALBUTEROL 2.5 MG/3 ML NEBULIZER, ALBUTEROL 5 MG CONTINUOUS NEBULIZER",inhaled
alprostadil,mcg,mcg/hr,Prostaglandin vasodilator for pulmonary hypertension and ductus arteriosus,"ALPROSTADIL 20 MCG/ML IV INFUSION, ALPROSTADIL 0.1 MCG/KG/MIN IV",pulmonary_vasodilators_iv
aminocaproic_acid,g,g/hr,Antifibrinolytic agent to reduce bleeding,"AMINOCAPROIC ACID 5 GM/250 ML IV INFUSION, AMINOCAPROIC 100 MG/KG IV LOAD",others
aminophylline,mg,"mg/kg/hr, mg/hr",Bronchodilator and respiratory stimulant. Sometimes recorded as mg/hr instead of mg/kg/hr in some site data.,"AMINOPHYLLINE 250 MG/250 ML IV INFUSION, AMINOPHYLLINE 0.5 MG/KG/HR IV",others
amiodarone,mg,mg/min,Antiarrhythmic for ventricular and atrial arrhythmias,AMIODARONE 900 MG/500 ML IV INFUSION 1 MG/MIN,cardiac
angiotensin,ng,ng/kg/min,Vasopressor for refractory hypotension,"ANGIOTENSIN II 2.5 MG/10 ML IV INFUSION, ANGIOTENSIN 20 NG/KG/MIN IV",vasoactives
argatroban,mcg,mcg/kg/min,Direct thrombin inhibitor anticoagulant,"ARGATROBAN 100 MG/250 ML IV INFUSION, ARGATROBAN 2 MCG/KG/MIN IV",anticoagulation
baclofen,ml,ml,Muscle relaxant and antispasmodic,"BACLOFEN 20 MG/20 ML INTRATHECAL, BACLOFEN 2000 MCG/DAY IT PUMP",others
bivalirudin,mcg,mcg/kg/hr,Direct thrombin inhibitor for anticoagulation,"BIVALIRUDIN 250 MG/250 ML IV INFUSION, BIVALIRUDIN 0.15 MG/KG/HR IV",anticoagulation
bumetanide,mg,mg/hr,Loop diuretic for fluid management,"BUMETANIDE 2 MG/100 ML IV INFUSION, BUMETANIDE 0.5 MG/HR IV CONTINUOUS",diuretics
bupivacaine,ml,ml/hr,Local anesthetic for regional anesthesia,"BUPIVACAINE 0.25% 100 ML EPIDURAL INFUSION, BUPIVACAINE 10 ML/HR EPIDURAL",others
cangrelor,mcg,mcg/kg/min,Rapid acting antiplatelet agent for acute coronary syndrome or with recent percutaneous intravenous intervention,"CANGRELOR 50 MG/250 ML IV INFUSION, CANGRELOR 0.75 MCG/KG/MIN IV",anticoagulation
cisatracurium,mcg,mcg/kg/min,Neuromuscular blocking agent for paralysis,"CISATRACURIUM 200 MG/100 ML IV INFUSION, CISATRACURIUM 3 MCG/KG/MIN IV",paralytics
clevidipine,mg,mg/hr,Ultra-short acting calcium channel blocker,"CLEVIDIPINE 50 MG/100 ML IV INFUSION, CLEVIDIPINE 2-16 MG/HR IV",cardiac
dexmedetomidine,mcg,mcg/kg/hr,Alpha-2 agonist sedative,"DEXMEDETOMIDINE 200 MCG/50 ML IV INFUSION, DEXMEDETOMIDINE 0.2-1.5 MCG/KG/HR IV",sedation
dextrose_10_water,ml,ml/hr,"Dextrose 10% concentration, glucose solution for fluid replacement","D10W 1000 ML IV MAINTENANCE, DEXTROSE 10% 1000 ML IV MAINTENANCE",fluids_electrolytes
dextrose_5_water,ml,ml/hr,"Dextrose 5% concentration, glucose solution for fluid replacement","D5W 1000 ML IV MAINTENANCE, DEXTROSE 5% IN WATER 500 ML IV AT 125 ML/HR",fluids_electrolytes
dextrose_other,ml,ml/hr,"Other dextrose concentrations (not D5W or D10W) or dextrose in solutions other than water, glucose solution for fluid replacement","DEXTROSE 20% 1000 ML IV MAINTENANCE, 5% DEXTROSE IN LACTATED RINGER'S 1000 mL",others
diltiazem,mg,mg/hr,Calcium channel blocker for ventricular rate control,"DILTIAZEM 125 MG/125 ML IV INFUSION, DILTIAZEM 5-15 MG/HR IV",cardiac
dobutamine,mcg,mcg/kg/min,Inotropic agent to increase cardiac contractility,"DOBUTAMINE 500 MG/250 ML IV INFUSION, DOBUTAMINE 2-20 MCG/KG/MIN IV",vasoactives
dopamine,mcg,mcg/kg/min,Vasopressor and inotrope for hemodynamic support,"DOPAMINE 400 MG/250 ML IV INFUSION, DOPAMINE 5-20 MCG/KG/MIN IV",vasoactives
epinephrine,mcg,mcg/kg/min,Catecholamine for hemodynamic support and/or anaphylaxis,"EPINEPHRINE 4 MG/250 ML IV INFUSION, EPINEPHRINE 0.01-0.5 MCG/KG/MIN IV",vasoactives
epoprostenol,ng,ng/kg/min,Prostacyclin for pulmonary arterial hypertension,"EPOPROSTENOL 15000 MCG/100 ML IV INFUSION, EPOPROSTENOL 2-10 NG/KG/MIN IV",pulmonary_vasodilators_iv
