NIH CDE Category ,fluid_category,Explanation 
Brain,brain,
Central Nervous System Unspecified,central_nervous_system,"Does not fit into Brain, Meninges and CSF, or Spinal Cord "
Meninges and CSF,meninges_csf,
Spinal Cord,spinal_cord,
Eyes,eyes,
Ears,ears,
Sinuses,sinuses,
Upper Airway and Nasopharynx,nasopharynx_upperairway,"Nasal cavity and nasopharynx, includes respiratory viral swabs obtained by nasal swab "
Lips,lips,
"Tongue, Oral Cavity, and Oro-Pharynx",oropharynx_tongue_oralcavity,
Larynx,larynx,Includes vocal cords 
Lymph Nodes,lymph_nodes,LN from any location in the body. This excludes respiratory cultures obtained with use of red rubber. 
Catheter Tip,catheter_tip,
"Cardiac (Endocardium, Myocardium, Pericardium)",cardiac,Includes pericardial fluid 
Respiratory Tract Unspecified,respiratory_tract,"Respiratory samples (1) spontaneously exporated or exporated with non-invasive assistance by the patient, (2) collected by a healthcare worker from below the vocal cords and above the carina, or (3) collected from an unknown location. This includes regular expectorated sputum samples, sputum by induction, endotracheal tube aspirates, tracheostomy aspirates and tracheal samples. "
Lower Respiratory Tract (Lung),respiratory_tract_lower,"Respiratory samples collected by healthcare worker from under the carina using invasive bronchoscopy or non invasive mini-BAL catheters. If a respiratory sample is obtained by bronchoscopy or mini-BAL above the carina (i.e., trachea), this should not be included here (see point 2 in ""respiratory track unspecified""). "
"Pleural Cavity, Pleural Fluid",pleural_cavity_fluid,
Joints,joints ,"Invasive sample from a joint, cartilage or synovial fluid. This excludes superficial samples of the skin, subcutaenous tissue and muscle surrounding the joint. "
Bone Marrow,bone_marrow,
Bone Cortex (Osteomyelitis),bone_cortex,
Blood/Buffy Coat,blood_buffy,
Esophagus,esophagus,
"Gallbladder and Billary Tree (Not Hepatitis), Pancreas",gallbladder_billary_pancreas,
Liver,liver,
Spleen,spleen,
Stomach,stomach,
Small Intestine,small_intestine,
Large Intestine,large_intestine,
Gastrointestinal Tract Unspecified,gastrointestinal_tract ,"Includes samples in the GI track that do not fall in gallbladder, biliary tree, pancreas, liver, spleen, stomach, small intestine, large intestine"
"Kidneys, Renal Pelvis, Ureters and Bladder",kidneys_renal_pelvis_ureters_bladder,"Sample obtained from urinary system invasively from the kidney, ureter, or bladder using methods such as renal aspiration, incision, biopsy, ureteroscopy, cytoscopy, washings, or a transurethral approach.   "
Genito-Urinary Tract Unspecified,genito_urinary_tract,"Includes samples obtained from urinary system non-invasively by spontaenous voiding, in-and-out cathether, foley, nephrostomy tubes, illeal conduit or indianna pouch"
"Fallopian Tubes, Uterus, Cervix",fallopians_uterus_cervix,Surgical specimens or pap smears 
Peritoneum,peritoneum,Surgical specimens of the parietal or visceral peritoneum 
Feces/Stool,feces_stool,
Genital Area,genital_area,Excludes urinary samples. 
Prostate,prostate,
Testes,testes,
Vagina,vagina,
Muscle (Excluding Cardiac),muscle,
"Rash, Pustules, or Abscesses Not Typical of Any of the Above",skin_rash_pustules_abscesses,
"Disseminated - Generalized, Isolated at 2 or More Distinct Sites",skin_disseminated_multiple_sites,
Woundsite,woundsite,Includes wounds that do not penetrate to bone. Includes excisions. Excludes osteomyletis. 
Skin Unspecified,skin_unspecified ,

Other Unspecified,other_unspecified ,Includes samples that do not categorise into any of the above. 
