organism_category,description
abiotrophia_defectiva,
achromobacter_sp,Achromobacter organism identified to the genus level only; species not further specified.
achromobacter_xylosoxidans,
acidaminococcus_sp,Acidaminococcus organism identified to the genus level only; species not further specified.
acinetobacter_baumannii,Common misspellings: acinetobacter_baumanii.
acinetobacter_johnsonii,
acinetobacter_junii,
acinetobacter_lwoffii,Common misspellings: acinetobacter_lwoffi.
acinetobacter_pittii,
acinetobacter_radioresistens,
acinetobacter_sp,Acinetobacter organism identified to the genus level only; species not further specified.
acinetobacter_ursingii,
acremonium_sp,Acremonium organism identified to the genus level only; species not further specified.
actinomyces_europaeus,
actinomyces_meyeri,
actinomyces_naeslundii,
actinomyces_neuii,
actinomyces_odontolyticus,
actinomyces_radingae,
actinomyces_sp,Actinomyces organism identified to the genus level only; species not further specified.
actinomyces_turicensis,
actinomyces_viscosus,
actinotignum_schaalii,
actinotignum_sp,Actinotignum organism identified to the genus level only; species not further specified.
aerococcus_christensenii,
aerococcus_sanguinicola,Common misspellings: aerococcus_sanguicola.
aerococcus_sp,Aerococcus organism identified to the genus level only; species not further specified.
aerococcus_urinae,Common misspellings: aerococcus_urinaie.
aerococcus_viridans,
aeromonas_caviae,
aeromonas_hydrophila,
aeromonas_sobria,
aeromonas_sp,Aeromonas organism identified to the genus level only; species not further specified.
aggregatibacter_actinomycetemcomitans,
aggregatibacter_aphrophilus,
aggregatibacter_segnis,
agrobacterium_radiobacter,
alcaligenes_faecalis,
alcaligenes_xylosoxidans,
alistipes_finegoldii,
alistipes_onderdonkii,
alloiococcus_otitis,
alloiococcus_sp,Alloiococcus organism identified to the genus level only; species not further specified.
alternaria_alternata,
alternaria_sp,Alternaria organism identified to the genus level only; species not further specified.
anaerobic_sp,Anaerobic organism identified to the genus level only; species not further specified.
anaerococcus_sp,Anaerococcus organism identified to the genus level only; species not further specified.
arcanobacterium_haemolyticum,
arthrobacter_cumminsii,
arthrobacter_sp,Arthrobacter organism identified to the genus level only; species not further specified.
arthrographis_sp,Arthrographis organism identified to the genus level only; species not further specified.
aspergillus_flavus,
aspergillus_fumigatus,
aspergillus_nidulans,
aspergillus_niger,
aspergillus_ochraceus,
aspergillus_sp,Aspergillus organism identified to the genus level only; species not further specified.
aspergillus_sydowii,
aspergillus_terreus,
aspergillus_versicolor,
atopobium_parvulum,
atopobium_sp,Atopobium organism identified to the genus level only; species not further specified.
atopobium_vaginae,
aureobasidium_sp,Aureobasidium organism identified to the genus level only; species not further specified.
bacillus_cereus,
bacillus_licheniformis,
bacillus_megaterium,
bacillus_simplex,
bacillus_sp,Bacillus organism identified to the genus level only; species not further specified.
bacillus_subtilis,
bacteria_other,
bacteroides_caccae,
bacteroides_capillosus,
bacteroides_eggerthii,
bacteroides_faecis,
bacteroides_fragilis,
bacteroides_ovatus,
bacteroides_pyogenes,
bacteroides_sp,Bacteroides organism identified to the genus level only; species not further specified.
bacteroides_stercoris,
bacteroides_thetaiotaomicron,
bacteroides_uniformis,
bacteroides_vulgatus,
bacteroides_xylanisolvens,
bifidobacterium_sp,Bifidobacterium organism identified to the genus level only; species not further specified.
bilophila_wadsworthia,
blastomyces_dermatitidis,
blastomyces_sp,Blastomyces organism identified to the genus level only; species not further specified.
bordetella_bronchiseptica,
bordetella_hinzii,
bordetella_sp,Bordetella organism identified to the genus level only; species not further specified.
bordetella_trematum,
brevibacillus_sp,Brevibacillus organism identified to the genus level only; species not further specified.
brevibacterium_casei,
brevibacterium_luteolum,
brevibacterium_sp,Brevibacterium organism identified to the genus level only; species not further specified.
brevundimonas_diminuta,
brevundimonas_sp,Brevundimonas organism identified to the genus level only; species not further specified.
brevundimonas_vesicularis,
brucella_intermedia,
burkholderia_cepacia,
burkholderia_gladioli,
burkholderia_sp,Burkholderia organism identified to the genus level only; species not further specified.
campylobacter_coli,
campylobacter_jejuni,
campylobacter_sp,Campylobacter organism identified to the genus level only; species not further specified.
campylobacter_ureolyticus,
candida_albicans,
candida_auris,
candida_colliculosa,
candida_dubliniensis,
candida_famata,
candida_fermentati,
candida_glabrata,
candida_guilliermondii,
candida_haemulonii,
candida_intermedia,
candida_kefyr,
candida_krusei,
candida_lambica,
candida_lipolytica,
candida_lusitaniae,
candida_nivariensis,
candida_orthopsilosis,
candida_parapsilosis,
candida_pararugosa,
candida_pelliculosa,
candida_pulcherrima,
candida_rugosa,
candida_sp,Candida organism identified to the genus level only; species not further specified.
candida_tropicalis,
candida_utilis,
capnocytophaga_gingivalis,
capnocytophaga_sp,Capnocytophaga organism identified to the genus level only; species not further specified.
cardiobacterium_hominis,
cardiobacterium_sp,Cardiobacterium organism identified to the genus level only; species not further specified.
cellulosimicrobium_cellulans,
chaetomium_sp,Chaetomium organism identified to the genus level only; species not further specified.
chryseobacterium_indologenes,
chryseobacterium_sp,Chryseobacterium organism identified to the genus level only; species not further specified.
citrobacter_amalonaticus,
citrobacter_farmeri,
citrobacter_freundii,
citrobacter_koseri,
citrobacter_koserii,
citrobacter_sp,Citrobacter organism identified to the genus level only; species not further specified.
cladosporium_sp,Cladosporium organism identified to the genus level only; species not further specified.
clostridioides_difficile,
clostridium_bifermentans,
clostridium_butyricum,
clostridium_cadaveris,
clostridium_clostridioforme,
clostridium_difficile,
clostridium_innocuum,
clostridium_paraputrificum,
clostridium_perfringens,
clostridium_ramosum,
clostridium_septicum,
clostridium_sordellii,
clostridium_sp,Clostridium organism identified to the genus level only; species not further specified.
clostridium_sporogenes,
clostridium_tertium,
cokeromyces_recurvatus,
collinsella_aerofaciens,
comamonas_testosteroni,
corynebacterium_accolens,
corynebacterium_afermentans,
corynebacterium_amycolatum,
corynebacterium_aurimucosum,
corynebacterium_bovis,
corynebacterium_coyleae,
corynebacterium_diptheriae,
corynebacterium_durum,
corynebacterium_freneyi,
corynebacterium_glucuronolyticum,
corynebacterium_imitans,
corynebacterium_jeikeium,
corynebacterium_macginleyi,
corynebacterium_propinquum,
corynebacterium_pseudodiphtheriticum,
corynebacterium_simulans,
corynebacterium_sp,Corynebacterium organism identified to the genus level only; species not further specified.
corynebacterium_striatum,
corynebacterium_tuberculostearicum,
corynebacterium_urealyticum,
cronobacter_malonaticus,
cronobacter_sakazakii,
cronobacter_sp,Cronobacter organism identified to the genus level only; species not further specified.
cryptococcus_albidus,
cryptococcus_neoformans,
cunninghamella_sp,Cunninghamella organism identified to the genus level only; species not further specified.
cupriavidus_pauculus,
curtobacterium_sp,Curtobacterium organism identified to the genus level only; species not further specified.
curvularia_sp,Curvularia organism identified to the genus level only; species not further specified.
cutibacterium_acnes,
cutibacterium_avidum,
delftia_acidovorans,
dematiaceous_sp,Dematiaceous organism identified to the genus level only; species not further specified.
dermabacter_hominis,
dermacoccus_nishinomiyaensis,
desulfovibrio_sp,Desulfovibrio organism identified to the genus level only; species not further specified. Common misspellings: desulfovibri_sp.
dialister_pneumosintes,
dialister_sp,Dialister organism identified to the genus level only; species not further specified.
dietzia_cinnamea,
dietzia_sp,Dietzia organism identified to the genus level only; species not further specified.
dolosigranulum_pigrum,
edwardsiella_tarda,
eggerthella_lenta,
eggerthella_lentum,
eggerthella_sp,Eggerthella organism identified to the genus level only; species not further specified.
eggerthia_catenaformis,
eikenella_corrodens,
elizabethkingia_anophelis,
elizabethkingia_meningoseptica,
elizabethkingia_sp,Elizabethkingia organism identified to the genus level only; species not further specified.
enterobacter_aerogenes,
enterobacter_amnigenus,
enterobacter_cancerogenus,
enterobacter_cloacae,
enterobacter_sp,Enterobacter organism identified to the genus level only; species not further specified.
enterococcus_avium,
enterococcus_casseliflavus,
enterococcus_durans,
enterococcus_faecalis,
enterococcus_faecium,
enterococcus_gallinarum,
enterococcus_hirae,
enterococcus_raffinosus,
enterococcus_saccharolyticus,
enterococcus_sp,Enterococcus organism identified to the genus level only; species not further specified.
epicoccum_sp,Epicoccum organism identified to the genus level only; species not further specified.
erysipelothrix_rhusiopathiae,
escherichia_coli,
escherichia_hermannii,
escherichia_sp,Escherichia organism identified to the genus level only; species not further specified.
eubacterium_callanderi,
eubacterium_sp,Eubacterium organism identified to the genus level only; species not further specified.
ewingella_americana,
exiguobacterium_acetylicum,
exophiala_dermatitidis,
facklamia_hominis,
facklamia_sp,Facklamia organism identified to the genus level only; species not further specified.
finegoldia_magna,
francisella_tularensis,
fungus_other,
fusarium_proliferatum,
fusarium_solani,
fusarium_sp,Fusarium organism identified to the genus level only; species not further specified.
fusobacterium_gonidiaformans,
fusobacterium_necrophorum,
fusobacterium_nucleatum,
fusobacterium_sp,Fusobacterium organism identified to the genus level only; species not further specified.
gardnerella_vaginalis,
gemella_morbillorum,
gemella_sp,Gemella organism identified to the genus level only; species not further specified.
geotrichum_sp,Geotrichum organism identified to the genus level only; species not further specified.
globicatella_sanguinis,
gordonia_bronchialis,
gordonia_sp,Gordonia organism identified to the genus level only; species not further specified.
gram_negative_diplococci,
gram_negative_rod,
gram_positive_cocci,
gram_positive_rod,
granulicatella_adiacens,
granulicatella_elegans,
haemophilus_haemolyticus,
haemophilus_influenzae,
haemophilus_parainfluenzae,
haemophilus_sp,Haemophilus organism identified to the genus level only; species not further specified.
hafnia_alvei,
hafnia_sp,Hafnia organism identified to the genus level only; species not further specified.
histoplasma_capsulatum,
kingella_denitrificans,
klebsiella_aerogenes,
klebsiella_oxytoca,
klebsiella_pneumoniae,
klebsiella_sp,Klebsiella organism identified to the genus level only; species not further specified.
klebsiella_variicola,
kloeckera_sp,Kloeckera organism identified to the genus level only; species not further specified.
kluyvera_sp,Kluyvera organism identified to the genus level only; species not further specified.
kocuria_palustris,
kocuria_sp,Kocuria organism identified to the genus level only; species not further specified.
kodamaea_ohmeri,
lactobacillus_acidophilus,
lactobacillus_fermentum,
lactobacillus_sp,Lactobacillus organism identified to the genus level only; species not further specified.
lactococcus_sp,Lactococcus organism identified to the genus level only; species not further specified.
leclercia_adecarboxylata,
legionella_bozemanae,
legionella_dumoffii,
legionella_feeleii,
legionella_pneumophila,
legionella_sp,Legionella organism identified to the genus level only; species not further specified.
lelliottia_amigena,Common misspellings: lettiottia_amingena.
leptotrichia_buccalis,
leuconostoc_sp,Leuconostoc organism identified to the genus level only; species not further specified.
lichtheimia_sp,Lichtheimia organism identified to the genus level only; species not further specified.
listeria_monocytogenes,
lysinibacillus_fusiformis,
lysinibacillus_sp,Lysinibacillus organism identified to the genus level only; species not further specified.
malassezia_furfur,
malassezia_pachydermatis,
microbacterium_flavescens,
microbacterium_sp,Microbacterium organism identified to the genus level only; species not further specified.
micrococcus_luteus,
micrococcus_sp,Micrococcus organism identified to the genus level only; species not further specified.
microsporum_gypseum,
microsporum_sp,Microsporum organism identified to the genus level only; species not further specified.
moraxella_catarrhalis,
moraxella_nonliquefaciens,
moraxella_osloensis,
moraxella_sp,Moraxella organism identified to the genus level only; species not further specified.
morganella_morganii,
morganella_sp,Morganella organism identified to the genus level only; species not further specified.
mucor_circinelloides,
mucor_sp,Mucor organism identified to the genus level only; species not further specified.
mycobacterium_abscessus,
mycobacterium_avium,
mycobacterium_chelonae,
mycobacterium_farcinogenes,
mycobacterium_fortuitum,
mycobacterium_gordonae,
mycobacterium_kansasii,
mycobacterium_kubicae,
mycobacterium_lentiflavum,
mycobacterium_llatzerense,
mycobacterium_malmoense,
mycobacterium_marinum,
mycobacterium_mucogenicum,
mycobacterium_neoaurum,
mycobacterium_paraffinicum,
mycobacterium_scrofulaceum,
mycobacterium_szulgai,
mycobacterium_tuberculosis,
mycobacterium_xenopi,
mycoplasma_hominis,
mycoplasma_sp,Mycoplasma organism identified to the genus level only; species not further specified.
myroides_sp,Myroides organism identified to the genus level only; species not further specified.
neisseria_gonorrhoeae,
neisseria_meningitidis,
neisseria_mucosa,
neisseria_sp,Neisseria organism identified to the genus level only; species not further specified.
neisseria_subflava,
no_growth,
nocardia_abscessus,
nocardia_brasiliensis,
nocardia_cyriacigeorgica,
nocardia_farcinica,
nocardia_nova,
nocardia_sp,Nocardia organism identified to the genus level only; species not further specified.
nocardia_thailandica,
nocardia_veterana,
nocardia_wallacei,
ochraconis_sp,Ochraconis organism identified to the genus level only; species not further specified.
ochrobactrum_anthropi,
ochrobactrum_intermedium,
ochrobactrum_sp,Ochrobactrum organism identified to the genus level only; species not further specified.
odoribacter_splanchnicus,
oligella_ureolytica,
oligella_urethralis,
paecilomyces_lilacinus,
paecilomyces_sp,Paecilomyces organism identified to the genus level only; species not further specified.
paenibacillus_sp,Paenibacillus organism identified to the genus level only; species not further specified.
pandoraea_sp,Pandoraea organism identified to the genus level only; species not further specified.
pantoea_agglomerans,
pantoea_sp,Pantoea organism identified to the genus level only; species not further specified.
parabacteroides_distasonis,
parabacteroides_merdae,
parvimonas_micra,
pasteurella_canis,
pasteurella_multocida,
pasteurella_sp,Pasteurella organism identified to the genus level only; species not further specified.
pediococcus_acidilactici,
penicillium_sp,Penicillium organism identified to the genus level only; species not further specified.
peptoniphilus_assacharolyticus,
peptoniphilus_harei,
peptoniphilus_sp,Peptoniphilus organism identified to the genus level only; species not further specified.
peptostreptococcus_anaerobius,
peptostreptococcus_sp,Peptostreptococcus organism identified to the genus level only; species not further specified.
pithomyces_sp,Pithomyces organism identified to the genus level only; species not further specified.
plasmodium_falciparum,
plasmodium_sp,Plasmodium organism identified to the genus level only; species not further specified.
plesiomonas_shigelloides,
pluralibacter_gergoviae,
porphyromonas_asaccharolytica,
porphyromonas_sp,Porphyromonas organism identified to the genus level only; species not further specified.
prevotella_bivia,
prevotella_buccae,
prevotella_denticola,
prevotella_disiens,
prevotella_intermedia,
prevotella_melaninogenica,
prevotella_nigrescens,
prevotella_oralis,
prevotella_oris,
prevotella_sp,Prevotella organism identified to the genus level only; species not further specified.
propionibacterium_acnes,
propionibacterium_avidum,
propionibacterium_granulosum,
propionibacterium_sp,Propionibacterium organism identified to the genus level only; species not further specified.
proteus_mirabilis,
proteus_penneri,
proteus_sp,Proteus organism identified to the genus level only; species not further specified.
proteus_vulgaris,
providencia_alcalifaciens,
providencia_rettgeri,
providencia_sp,Providencia organism identified to the genus level only; species not further specified.
providencia_stuartii,
pseudallescheria_boydii,
pseudoglutamicibacter_cumminsii,
pseudomonas_aeruginosa,
pseudomonas_alcaligenes,
pseudomonas_fluorescens,
pseudomonas_luteola,
pseudomonas_mendocina,
pseudomonas_oryzihabitans,
pseudomonas_putida,
pseudomonas_sp,Pseudomonas organism identified to the genus level only; species not further specified.
pseudomonas_stutzeri,
psychrobacter_phenylpyruvicus,
psychrobacter_sp,Psychrobacter organism identified to the genus level only; species not further specified.
purpureocillium_lilacinum,
rahnella_aquatilis,
rahnella_sp,Rahnella organism identified to the genus level only; species not further specified.
ralstonia_mannitolilytica,
ralstonia_pickettii,
ralstonia_sp,Ralstonia organism identified to the genus level only; species not further specified.
raoultella_ornithinolytica,
raoultella_planticola,
raoultella_sp,Raoultella organism identified to the genus level only; species not further specified.
rhinocladiella_sp,Rhinocladiella organism identified to the genus level only; species not further specified.
rhizobium_radiobacter,
rhizobium_sp,Rhizobium organism identified to the genus level only; species not further specified.
rhizomucor_pusillus,
rhizomucor_sp,Rhizomucor organism identified to the genus level only; species not further specified.
rhizopus_sp,Rhizopus organism identified to the genus level only; species not further specified.
rhodococcus_sp,Rhodococcus organism identified to the genus level only; species not further specified.
rhodotorula_mucilaginosa,
rhodotorula_sp,Rhodotorula organism identified to the genus level only; species not further specified.
roseomonas_sp,Roseomonas organism identified to the genus level only; species not further specified.
rothia_dentocariosa,
rothia_mucilaginosa,
rothia_sp,Rothia organism identified to the genus level only; species not further specified.
saccharomyces_cerevisiae,
saccharomyces_sp,Saccharomyces organism identified to the genus level only; species not further specified.
salmonella_enterica,
salmonella_enteritidis,
salmonella_paratyphi,
salmonella_sp,Salmonella organism identified to the genus level only; species not further specified.
saprochaete_capitata,
saprochaete_sp,Saprochaete organism identified to the genus level only; species not further specified.
scedosporium_apiospermum,
scopulariopsis_brevicaulis,
scopulariopsis_sp,Scopulariopsis organism identified to the genus level only; species not further specified. Common misspellings: scopulariopsi_sp.
serratia_fonticola,
serratia_liquefaciens,
serratia_marcescens,
serratia_odorifera,
serratia_rubidaea,
serratia_sp,Serratia organism identified to the genus level only; species not further specified.
shewanella_putrefaciens,
shewanella_sp,Shewanella organism identified to the genus level only; species not further specified.
shigella_sonnei,
slackia_exigua,
sphingomonas_paucimobilis,
sphingomonas_sp,Sphingomonas organism identified to the genus level only; species not further specified.
sporobolomyces_salmonicolor,
staphylococcus_aureus,
staphylococcus_auricularis,
staphylococcus_capitis,
staphylococcus_caprae,
staphylococcus_carnosus,
staphylococcus_coagneg,Common misspellings: staphyloccous_coagneg.
staphylococcus_cohnii,
staphylococcus_epidermidis,
staphylococcus_haemolyticus,
staphylococcus_hominis,
staphylococcus_lugdunensis,
staphylococcus_pasteuri,
staphylococcus_pettenkoferi,
staphylococcus_pseudintermedius,
staphylococcus_saccharolyticus,
staphylococcus_saprophyticus,
staphylococcus_schleiferi,
staphylococcus_sciuri,
staphylococcus_simulans,
staphylococcus_sp,Staphylococcus organism identified to the genus level only; species not further specified.
staphylococcus_warneri,
staphylococcus_xylosus,
stenotrophomonas_maltophilia,
stenotrophomonas_rhizophila,
stenotrophomonas_sp,Stenotrophomonas organism identified to the genus level only; species not further specified.
streptococcus_agalactiae,
streptococcus_alphahemolytic,
streptococcus_anginosus,
streptococcus_bovis,
streptococcus_canis,
streptococcus_constellatus,
streptococcus_cristatus,
streptococcus_dysgalactiae,
streptococcus_equinus,
streptococcus_gallolyticus,
streptococcus_gordonii,
streptococcus_infantarius,
streptococcus_intermedius,
streptococcus_mitis,
streptococcus_mutans,
streptococcus_nonhemolytic,
streptococcus_parasanguinis,
streptococcus_pneumoniae,
streptococcus_pseudoporcinus,
streptococcus_pyogenes,Common misspellings: streptcoccus_pyogenes.
streptococcus_salivarius,
streptococcus_sanguinis,
streptococcus_sp,Streptococcus organism identified to the genus level only; species not further specified.
