language_category,description,language_name_examples
english,"Includes English Creole languages such as Guyanese Creole, Jamaican English Creole Patois, Krio, Nigerian Pidgin, Pidgin English",
spanish,,
french,"Includes Cajun, Canadian French, French Creole (other than Haitian Creole)",
haitian_creole,,
italian,"Includes Neapolitan, Sicilian",
portuguese,"Includes Brazilian Portuguese, Portuguese Creole, Cape Verdean, Crioulo, Papiamento",
german,,
yiddish_pennsylvania_dutch_or_other_west_germanic_languages,"Includes Afrikaans, Dutch, Flemish, Frisian, Luxembourgish, Scots, Low German",
greek,,
russian,,
polish,,
serbo_croatian,"Includes Bosnian, Croatian, Montenegrin, Serbian, Serbo-Croatian",
ukrainian_or_other_slavic_languages,"Includes Belarusian, Bulgarian, Czech, Macedonian, Slovak",
armenian,,
persian,"Includes Farsi, Dari, Hazaragi, Tadzhik, Tajik",
gujarati,,
hindi,,
urdu,,
punjabi,"Includes Panjabi, Mirpuri",
bengali,"Includes Bangla, Chittagonian, Sylheti",
nepali_marathi_or_other_indic_languages,"Includes Bhojpuri, Fiji Hindi, Indo-Fiji, Haryanvi, Hindko, Kachchhi, Kutchi, Pothwari, Saraiki, Sindhi, Sinhala, Sinhalese",
other_european_indo_european_languages,"Includes Albanian, Aragonese, Balochi, Catalan, Danish, Faroese, Icelandic, Latvian, Lithuanian, Moldovan, Moldavian, Norwegian, Romani, Romanian, Swedish, Valencian",
other_asian_indo_european_languages,"Includes Kurdish (including Badini, Kurmanji, Sorani, Northern Kurdish), Pashto, Pushto",
telugu,,
tamil,,
malayalam_kannada_or_other_dravidian_languages,"Includes Tulu, Gondi, Brahui",
chinese,"Includes all Chinese dialects (Mandarin, Cantonese, Hakka, Teochew Min, Chui Chow, Nanjing, Wu, etc)",
japanese,,
korean,,
vietnamese,,
khmer,Includes Cambodian,
thai_lao_or_other_tai_kadai_languages,"Includes Central Thai, Shan",
other_languages_of_asia,"Includes Burmese, Chaozhou, Chin, Dzongkha, Eastern Pwo, Falam, Hakha, Hmong, Karen, Karenni, Kayah, Mien, Mizo, Mongolian, Pwo Northern Rohingya, Philippine (Other), Tedim, Tibetan, Zanniat",
tagalog,Includes Filipino,
ilocano_samoan_hawaiian_or_other_austronesian_languages,"Includes Bikol, Cebuano, Chuukese, Fijian, Hilgaynon, Ilonggo, Indonesian, Jakartanese, Javanese, Malagasy, Malay, Marshallese, Nauru, Phrae Pwo, Tahitian, Tongan, Trukese, Visayan, Yapese",
arabic,"Includes all Arabic regional dialects (Egyptian, Algerian, Sudanese, etc)",
hebrew,,
amharic_somali_or_other_afro_asiatic_languages,"Includes Afar, Borana, Chaldean, Eritrean, Ethiopian, Garre, Hausa, Maay Maay, Oromo, Oromifa, Tigrinya, Tigrigna",
yoruba_twi_igbo_or_other_languages_of_western_africa,"Includes Akan, Ashanti, Asante, Fante, Bambara, Bamana, Djerma, Dyula, Jula, Dioula, Edo, Bini, Ewe, Fon, Fula, Fulah, Fulani, Ga, Gio, Ibo, Kirike, Lingala, Malinke, Mande, Mandingo, Mandinka, Mina, Pular, Pulaar, Soninke, Wolof, Zarma",
swahili_or_other_languages_of_central_eastern_and_southern_africa,"Includes Anuak, Bravanese, Chimwiini, Chichewa, Chizigula, Kizigua, Dinka, Ganda, Luganda, Kibajuni, Kikuyu, Kinyabwisha, Kinyamulenge, Kinyarwanda, Kirundi, Kisii, Kiswahili, Kongo, Kunama, Luba-Kasai, Luo, Nuer, Rundi, Sangho, Sango, Sotho, Tshiluba, Zulu",
navajo,,
other_native_languages_of_north_america,"Includes Cree, Mixtec, Mixteco, Ojibwa as well as any other indigenous language from Mexico, United States, or Canada",
other_and_unspecified_languages,"Includes Abkhaz, Akatek, Akateko, Aymara, Azerbaijani, Basque, Berber, Esperanto, Estonian, Finnish, Gaelic, Georgian, Guarani, Hungarian, Chuj, Cakchiquel, Kaqchikel, Kajobal, Kazakh, Q'anjob'al, Kekchi, Q'eqchi, K'iche', Northern Sami, Quiche, Kyrgyz, Mam, Quechua, Turkish, Turkmen, Uyghur, Uzbek",
sign_language,Includes American Sign Language as well as any other recognized form of sign language,
unknown,"Includes Patient Declined, Non-Verbal/Non-Signing Patients",
,,
*Descriptions include examples but may not be exhaustive. Categorization is based on linguistic or geographic grouping.,,
