radiology_region_category,description,radiology_region_name_examples
abdomen,Abdomen,"Abdomen, Abd, CT Abdomen"
abdomen_pelvis,Combined abdomen and pelvis,"Abdomen/Pelvis, Abd/Pelvis, CT A/P"
brain,Brain / head,"Brain, Head, MRI Brain, CT Head"
chest,Chest / thorax,"Chest, Thorax, CXR, CT Chest"
heart,"Heart (echo, cardiac CT/MR)","Heart, Cardiac, Echo, Echocardiogram, Coronary CTA"
lower_extremity,Lower extremity,"Lower Extremity, Leg, Hip, Knee, Ankle, Foot"
maxillofacial,Maxillofacial structures,"Face, Sinuses, Maxillofacial, Mandible, Orbits"
neck,Neck,"Neck, Soft Tissue Neck"
other,Other anatomic region not otherwise classified,"Other, Multiple Regions"
pelvis,Pelvis,"Pelvis, Pelvic, CT Pelvis"
ruq,Right upper quadrant (liver / gallbladder focus),"RUQ, Right Upper Quadrant, Liver, Gallbladder, GB"
spine,Spine (any level),"Spine, C-Spine, T-Spine, L-Spine, Lumbar, Cervical Spine, Thoracic Spine"
upper_extremity,Upper extremity,"Upper Extremity, Arm, Shoulder, Elbow, Wrist, Hand"
vascular,Vascular imaging (CTA / MRA / Doppler),"Vascular, CTA, MRA, Angiography, Carotid Doppler"
whole_body,"Whole-body study (PET/CT, bone scan)","Whole Body, PET/CT Whole Body, Bone Scan Whole Body"
