category,typical_minimum,typical_maximum,typical_units,reference
adenosine,50,150,mcg/kg/min,Lexicomp
albumin_infusion,0.1,1,g/kg,Lexicomp
albuterol,2.5,20,mg/hr,Lexicomp
alprostadil,0.05,0.4,mcg/kg/min,Lexicomp
aminocaproic,1,4,g/hr,Lexicomp
aminophylline,0.3,0.9,mg/kg/hr,Lexicomp
amiodarone,0.5,1,mg/min,Lexicomp
angiotensin,2,40,ng/kg/min,Lexicomp
argatroban,0.5,10,mcg/kg/min,Lexicomp
baclofen,10,120,mcg/hr,Lexicomp
bivalirudin alteplase,0.05,0.2,mg/kg/hr,Lexicomp
bumetanide,0.5,2,mg/hr,Lexicomp
bupivacaine,5,15,mg/hr,Lexicomp
cangrelor,0.75,4,mcg/kg/min,Lexicomp
cisatracurium,0.5,10,mcg/kg/min,Lexicomp
clevidipine,1,21,mg/hr,Lexicomp
cosyntropin,0.25,1,mg/hr,Lexicomp
dexmedetomidine,0.2,1.5,mcg/kg/hr,Lexicomp
dextrose,10,100,mL/hr,Lexicomp
dextrose_in_water_d5w,10,100,mL/hr,Lexicomp
diltiazem,5,15,mg/hr,Lexicomp
dobutamine,2,20,mcg/kg/min,Lexicomp
dopamine,1,20,mcg/kg/min,Lexicomp
epinephrine,0.01,0.5,mcg/kg/min,Lexicomp
epoprostenol,2,50,ng/kg/min,Lexicomp
eptifibatide,1,2,mcg/kg/min,Lexicomp
esmolol,50,300,mcg/kg/min,Lexicomp
esomeprazole,8,8,mg/hr,Lexicomp
fentanyl,0.7,10,mcg/kg/hr,Lexicomp
furosemide,5,40,mg/hr,Lexicomp
heparin,12,18,units/kg/hr,Lexicomp
hydromorphone,0.1,1,mg/hr,Lexicomp
insulin,0.05,0.1,units/kg/hr,Lexicomp
ipratropium,0.5,2,mg/hr,Lexicomp
isoproterenol,0.01,0.2,mcg/kg/min,Lexicomp
ketamine,0.1,5,mg/kg/hr,Lexicomp
labetalol,0.5,8,mg/min,Lexicomp
lactated_ringers_solution,10,200,mL/hr,Lexicomp
lidocaine,1,5,mg/min,Lexicomp
liothyronine,5,20,mcg/hr,Lexicomp
lorazepam,0.01,0.1,mg/kg/hr,Lexicomp
magnesium,1,4,g/hr,Lexicomp
midazolam,0.02,0.1,mg/kg/hr,Lexicomp
milrinone,0.25,0.75,mcg/kg/min,Lexicomp
morphine,1,10,mg/hr,Lexicomp
naloxone,0.4,4,mg/hr,Lexicomp
narcan,0.4,4,mg/hr,Lexicomp
nicardipine,5,15,mg/hr,Lexicomp
nitroglycerin,5,200,mcg/min,Lexicomp
nitroprusside,0.3,10,mcg/kg/min,Lexicomp
norepinephrine,0.01,3,mcg/kg/min,Lexicomp
octreotide,25,50,mcg/hr,Lexicomp
oxytocin,1,40,milliunits/min,Lexicomp
pantoprazole,8,8,mg/hr,Lexicomp
papaverine,30,120,mg/hr,Lexicomp
pentobarbital,0.5,5,mg/kg/hr,Lexicomp
phentolamine,0.5,20,mg/hr,Lexicomp
phenylephrine,0.1,9,mcg/kg/min,Lexicomp
pitocin,1,40,milliunits/min,Lexicomp
plasma_lyte,10,200,mL/hr,Lexicomp
procainamide,1,6,mg/min,Lexicomp
propofol,5,80,mcg/kg/min,Lexicomp
remifentanil,0.025,2,mcg/kg/min,Lexicomp
repletion,10,50,mEq/hr,Lexicomp
rocuronium,5,12,mcg/kg/min,Lexicomp
ropivacaine,6,14,mg/hr,Lexicomp
sodium bicarbonate,1,5,mEq/kg/hr,Lexicomp
sodium chloride,10,200,mL/hr,Lexicomp
tacrolimus,0.01,0.04,mg/kg/day,Lexicomp
terbutaline,0.01,0.4,mg/min,Lexicomp
thyroid replacement,10,100,mcg/hr,Lexicomp
tocolyttics,0.5,3,mg/min,Lexicomp
torsemide,5,20,mg/hr,Lexicomp
tpn,10,125,mL/hr,Lexicomp
treprostinil,1.25,40,ng/kg/min,Lexicomp
vasopressin,0.03,0.04,units/min,Lexicomp
vecuronium,0.8,1.7,mcg/kg/min,Lexicomp
zidovudine,1,2,mg/kg/hr,Lexicomp
